season_id,title,score,eps,area,status,season_type
25617,魔法禁书目录 第三季,8.0,26,海外,全26话,番剧
44861,物理魔法使-马修-,8.6,12,海外,全12话,番剧
36429,Re：从零开始的异世界生活 第二季 后半,9.9,12,海外,全12话,番剧
39214,小猪佩奇 第八季 中文配音,8.5,45,海外,全45话,番剧
109700,假面骑士ZZZ,9.8,38,海外,更新至第38话,番剧
2932,打工吧！魔王大人,9.6,13,海外,全13话,番剧
21729,戒律的复活,9.7,24,海外,全24话,番剧
1407,欢迎光临樱兰高校,9.9,26,海外,全26话,番剧
1672,龙与虎,9.7,26,海外,全26话,番剧
963,魔法禁书目录 第一季,9.1,24,海外,全24话,番剧
38224,入间同学入魔了 第二季,9.7,21,海外,全21话,番剧
48744,胆大党,9.7,12,海外,全12话,番剧
27959,炎炎消防队,9.2,24,海外,全24话,番剧
32998,我的青春恋爱物语果然有问题。完,8.9,12,海外,全12话,番剧
21554,龙王的工作！,9.1,12,海外,全12话,番剧
73081,颂乐人偶,7.2,13,海外,全13话,番剧
184,NO GAME NO LIFE 游戏人生,9.8,12,海外,全12话,番剧
26769,文豪野犬 第三季,9.8,12,海外,全12话,番剧
2299,乌龙派出所,9.9,341,海外,全341话,番剧
25742,强风吹拂,9.9,23,海外,全23话,番剧
5998,Re：创造主,8.9,22,海外,全22话,番剧
45635,小猪佩奇 第九季 续集 中文配音,8.6,24,海外,全24话,番剧
45510,布莱泽奥特曼,9.9,28,海外,全28话,番剧
38397,泽塔奥特曼,9.8,28,海外,全28话,番剧
29590,Re：从零开始的异世界生活 新编集版,9.6,13,海外,全13话,番剧
37889,工作细胞（中配版）,9.7,14,海外,全14话,番剧
25443,小马宝莉 友谊魔法 第六季 中文配音,9.7,26,海外,全26话,番剧
844,日常,9.9,26,海外,全26话,番剧
76122,坂本日常,9.0,22,海外,全22话,番剧
24265,小马宝莉 友谊魔法 第七季 中文配音,9.8,26,海外,全26话,番剧
27733,小马宝莉 友谊魔法 第五季 中文配音,9.8,26,海外,全26话,番剧
43141,路人超能100 III(灵能百分百 第三季),9.9,12,海外,全12话,番剧
41920,米奇妙妙屋 第1季 中文配音,9.7,26,海外,全26话,番剧
47996,蜡笔小新 第八季（中文）,9.5,84,海外,全84话,番剧
33800,宇崎学妹想要玩！,9.4,12,海外,全12话,番剧
22504,卫宫家今天的饭,9.8,13,海外,全13话,番剧
32781,刀剑神域 爱丽丝篇 异界战争 -终章-,4.8,12,海外,全12话,番剧
42186,德凯奥特曼,9.5,28,海外,全28话,番剧
5793,珈百璃的堕落,9.6,12,海外,全12话,番剧
28615,刀剑神域 爱丽丝篇 异界战争,9.1,13,海外,全13话,番剧
2743,落第骑士英雄谭,9.5,12,海外,全12话,番剧
38229,打了300年的史莱姆，不知不觉就练到了满级,9.5,12,海外,全12话,番剧
23834,赛马娘,9.7,13,海外,全13话,番剧
1173,轻音少女 第二季,9.9,27,海外,全27话,番剧
39461,我被逐出队伍后过上慢生活,8.0,13,海外,全13话,番剧
34411,全员恶玉,6.2,12,海外,全12话,番剧
37590,小猪佩奇 第三季,8.4,26,海外,全26话,番剧
5017,食戟之灵 贰之皿,9.4,13,海外,全13话,番剧
37592,小猪佩奇 第五季,8.5,26,海外,全26话,番剧
5057,弹丸论破3 -绝望篇-,8.4,12,海外,全12话,番剧
23850,超能力女儿,9.6,12,海外,全12话,番剧
6304,骑士&魔法,8.8,13,海外,全13话,番剧
1172,轻音少女 第一季,9.9,14,海外,全14话,番剧
6434,宝石之国,9.7,12,海外,全12话,番剧
23856,阿宅的恋爱真难,9.6,11,海外,全11话,番剧
36166,五等分的新娘∬,9.7,12,海外,全12话,番剧
44865,Ｄｒ．ＳＴＯＮＥ 石纪元 (第三季),9.8,22,海外,全22话,番剧
28542,动物狂想曲 / BEASTARS,9.7,12,海外,全12话,番剧
90217,吉伊卡哇,5.8,120,海外,全120话,番剧
5281,网球王子,9.7,178,海外,全178话,番剧
26291,天使降临到我身边,9.8,13,海外,全13话,番剧
28595,喜欢本大爷的竟然就你一个？,9.1,14,海外,全14话,番剧
34407,在魔王城说晚安,9.7,12,海外,全12话,番剧
32963,公主连结Re:Dive,9.5,13,海外,全13话,番剧
38934,异世界迷宫黑心企业,9.7,12,海外,全12话,番剧
26281,约定的梦幻岛,9.8,12,海外,全12话,番剧
26794,贤者之孙,6.8,12,海外,全12话,番剧
29342,地缚少年花子君,9.5,12,海外,全12话,番剧
32956,格莱普尼尔,8.9,13,海外,全13话,番剧
21421,魔卡少女樱 CLEAR CARD篇,9.7,22,海外,全22话,番剧
102246,怪兽8号 第二季,6.3,12,海外,全12话,番剧
1588,罪恶王冠,9.1,22,海外,全22话,番剧
835,我们仍未知道那天所看见的花的名字。,9.6,11,海外,全11话,番剧
48830,英雄联盟：双城之战,9.7,9,海外,全9话,番剧
39180,测不准的阿波连同学,9.7,12,海外,全12话,番剧
73077,迷途之子!!!!!,9.7,13,海外,全13话,番剧
38935,见面5秒开始战斗,8.7,12,海外,全12话,番剧
41620,汪汪队立大功 第一季 中文配音,9.1,23,海外,全23话,番剧
41413,盾之勇者成名录 第二季,6.1,13,海外,全13话,番剧
38933,精灵幻想记,7.3,12,海外,全12话,番剧
2680,男子高中生的日常,9.8,12,海外,全12话,番剧
2722,学战都市Asterisk,8.5,12,海外,全12话,番剧
36175,Ｄｒ．ＳＴＯＮＥ 石纪元  (第二季),9.7,11,海外,全11话,番剧
37591,小猪佩奇 第四季,8.5,26,海外,全26话,番剧
4349,中二病也要谈恋爱！恋,9.6,13,海外,全13话,番剧
48810,假面骑士加布,7.4,50,海外,全50话,番剧
